Group,StudInLesson,Day,Les,Aud,Week,Subg,Name,CafI,Subject,Subj_type,Date,Subj_CafID,PrepID,Themas,Substitution_Name,Substitution_PrepID,Substitution_Subject,Substitution_Subj_type,Substitution_Subj_CafID,Lesson_ID,Lesson_Num
ЧПКфд-01-19,0,2,1,1-11,26,0,Юргина Л.А.,15,Системное программирование,л.,2022-02-15,15,202,По теме занятия,,,,,,,
ЧПКфд-01-20,0,2,2,1-11,26,0,Юргина Л.А.,15,Основы программирования,л.,2022-02-15,15,202,По теме занятия,,,,,,,
ЧДЗфд-01-20,0,2,3,1-11,26,0,Муллакова А.М.,15,Основы проектной и компьютерной графики,л.,2022-02-15,15,0,По теме занятия,,,,,,,
ЧПКфд-01-19,0,2,4,1-11,26,0,Юргина Л.А.,15,Прикладное программирование,л.,2022-02-15,15,202,По теме занятия,,,,,,,
ЧИПфд-01-19,0,2,5,1-11,26,0,Муллакова А.М.,15,Компьютерная графика,л.,2022-02-15,15,0,По теме занятия,,,,,,,
ЧПКфд-01-19,0,2,6,1-11,26,0,Муллакова А.М.,15,Компьютерная графика,л.,2022-02-15,15,0,По теме занятия,,,,,,,
ЧПКфд-01-18,0,3,1,1-11,26,0,Юргина Л.А.,15,Математическое и имитационное моделирование,л.,2022-02-16,15,202,По теме занятия,,,,,,,
ЧПКфд-02-20,0,3,2,1-11,26,0,Юргина Л.А.,15,Основы программирования,л.,2022-02-16,15,202,По теме занятия,,,,,,,
ЧПКфд-01-19,0,3,3,1-11,26,0,Муллакова А.М.,15,Компьютерная графика,л.,2022-02-16,15,0,По теме занятия,,,,,,,
ЧПКфд-01-19,0,3,4,1-11,26,0,Юргина Л.А.,15,Прикладное программирование,л.,2022-02-16,15,202,По теме занятия,,,,,,,
ЧСАфд-01-19,0,3,5,1-11,26,0,Муллакова А.М.,15,Компьютерная графика,л.,2022-02-16,15,0,По теме занятия,,,,,,,
ЧПКфд-01-19,0,3,6,1-11,26,0,Нубарян В.А.,15,Правовое обеспечение профессиональной деятельности,л.,2022-02-16,15,0,По теме занятия,,,,,,,
ЧПКфд-01-18,0,4,1,1-11,26,0,Юргина Л.А.,15,Математическое и имитационное моделирование,л.,2022-02-17,15,202,По теме занятия,,,,,,,
ЧЭБфд-01-19,0,4,2,1-11,26,0,Юргина Л.А.,15,1С:Бухгалтерия,л.,2022-02-17,15,202,По теме занятия,,,,,,,
ЧПКфд-01-19,0,4,3,1-11,26,0,Муллакова А.М.,15,Компьютерная графика,л.,2022-02-17,15,0,По теме занятия,,,,,,,
ЧЭБфд-01-19,0,4,4,1-11,26,0,Юргина Л.А.,15,1С:Бухгалтерия,л.,2022-02-17,15,202,По теме занятия,,,,,,,
ЧСАфд-01-19,0,4,5,1-11,26,0,Муллакова А.М.,15,Компьютерная графика,л.,2022-02-17,15,0,По теме занятия,,,,,,,
ЧПКфд-01-19,0,4,6,1-11,26,0,Юргина Л.А.,15,Прикладное программирование,л.,2022-02-17,15,202,По теме занятия,,,,,,,
ЧСЛфд-01-21,0,5,1,1-11,26,0,Догадов Д.И.,15,Химия,л.,2022-02-18,15,134,По теме занятия,,,,,,,
ЧПВфд-02-21,0,5,2,1-11,26,0,Цымбалова Ю.С.,15,Иностранный язык,л.,2022-02-18,15,0,По теме занятия,,,,,,,
ЧПВфд-01-21,0,5,2,1-11,26,0,Цымбалова Ю.С.,15,Иностранный язык,л.,2022-02-18,15,0,По теме занятия,,,,,,,
ЧПКфд-01-19,0,5,3,1-11,26,0,Огаркова Л.А.,15,Основы экономики,л.,2022-02-18,15,188,По теме занятия,,,,,,,
ЧНПфд-01-19,0,5,4,1-11,26,0,Муллакова А.М.,15,Компьютерная графика,л.,2022-02-18,15,0,По теме занятия,,,,,,,
